project_family,sector,capex_band_usd_b,revenue_source,public_benefit,first_gate,fx_exposure,facility_reuse_required,default_financing_lane
"Cement brick glass rebar and construction input rehabilitation","Manufacturing and housing inputs","4-7","Domestic sales; public procurement; contractor supply contracts","Reduced import leakage; lower housing and infrastructure input costs","Facility registry and environmental audit","Medium","Yes","Oil equity; local bank finance; ECA"
"Basra petrochemical fertilizer plastics and raw material processing belt","Raw material processing","6-10","Feedstock-linked sales; export receipts; industrial offtake","Domestic value capture from Iraqi resources","Feedstock pollution water and FX gate","High","Yes","Oil equity; ECA; project debt"
"Electronics smart meters control cabinets CPE/router assembly and repair centers","Electronics telecom and grid","3-5","Utility procurement; telecom operators; maintenance contracts","Import substitution; technical skills; grid modernization","Cybersecurity and standards gate","Medium","Yes","ECA; oil equity; local bank finance"
"HVAC pumps valves filters irrigation equipment and water treatment assemblies","HVAC water and irrigation","5-8","Public works; farms; hotels; hospitals; industrial users","Water efficiency; lower building and operating costs","Delivered-cost and warranty gate","Medium","Yes","Oil equity; ECA; PPP/JV"
"Defense controlled sustainment protective equipment uniforms field medical supplies and secure repair depots","Strategic resilience","3-6","Controlled public procurement; maintenance contracts","Emergency readiness; domestic capability","Legal classification and end-use gate","Medium","Yes","Oil equity; controlled procurement"
"Grain storage milling feed poultry dairy dates tomato paste and cold chain","Food substitution","5-8","Food sales; storage fees; offtake contracts; logistics fees","Food security; farmer market access; reduced import exposure","Water-use and delivered-cost gate","Low-medium","Yes","Oil equity; MDB; PPP/JV; local bank finance"
"Desalination leakage reduction water treatment irrigation modernization and efficient pumping","Water","4-7","Water-service contracts; equipment sales; municipal and industrial service fees","Reduced water stress; climate resilience","Basin tariff and social-protection gate","Medium","Yes","MDB; green sukuk; oil equity"
"Solar storage grid-loss reduction public-building efficiency waste-to-energy and district cooling","Green power grid and efficiency","12-18","PPAs; verified savings contracts; industrial power; waste fees","Lower energy costs; reduced fuel burn and emissions","PPA grid connection and green-verification gate","Medium-high","Partial","Green sukuk; MDB; ECA; oil equity"
"Baghdad metro and city light-metro open rail reference systems","Rail and urban mobility","8-12","Fares; availability payments; station concessions; land-value capture","Congestion relief; urban productivity; domestic rail capability","Right-of-way affordability and O&M gate","High","Partial","MDB; ECA; availability payments; PPP"
"Rail depots bus depots logistics hubs dry ports cold-chain nodes and station-area development","Rail logistics and cold chain","5-8","Freight; warehousing; leases; concessions; station retail","Lower logistics cost; facility reuse","Land title and brownfield gate","Medium","Yes","PPP/JV; project debt; local bonds later"
"Najaf-Karbala visitor corridor Baghdad/Kadhimiya services Babylon/Ur heritage marshland eco-services and mountain routes","Tourism and culture","5-8","Hotel/JV revenue; guide ticketing platform fees; transport contracts","Non-oil FX; cultural jobs; conservation funding","Carrying-capacity and conservation gate","Low-medium","Yes","PPP/JV; diaspora co-investment; oil equity"
"Medical education business software professional and diaspora-distributed tradable services","Tradable services","2-4","Service invoices; platform fees; referral fees; export receipts","Human-capital exports; diaspora channels","Certification and consumer-protection gate","Low","Partial","PPP/JV; diaspora syndicate; local bank finance"
"Municipal repair waste services street lighting drainage public-building maintenance and urban service contracts","Urban services","3-5","Municipal service contracts; savings contracts; availability payments","Visible city improvements; civic-work bridge","Municipality authority and payment-capacity gate","Low","Yes","Oil equity; MDB; ESCO contracts"
"Payment procurement tax levy facility registry citizen entitlement and public dashboard platforms","Digital public infrastructure","3-4","Public-service contracts; low platform fees; analytics services","Formalization; auditability; credit histories","Privacy CBI/payment and cybersecurity gate","Low","No","Oil equity; service contracts"
"Standards labs INDHC Academy quality certification supplier development and Iraqi management pipeline","Workforce R&D and standards","3-4","Mostly cost center; indirect sector returns","Iraqi-only permanent staffing; quality discipline","Accreditation and labor-law gate","Low","Yes","Oil equity; grants; sector levies"
