stream_id,sector,year10_revenue_usd_b,year10_direct_operating_cash_usd_b,revenue_mechanism,digital_iqd_measurement,use_case_advantage
public_procurement_substitution,Strategic manufacturing,3.6,0.85,"Verified Iraqi supply into public procurement, industrial inputs, uniforms, materials, and certified components","Procurement contract IDs, local-content attestations, supplier invoices, milestone releases, payment receipts","Turns government demand into productive Iraqi company revenue instead of pure import leakage."
raw_material_processing,Strategic manufacturing,1.8,0.45,"Domestic processing of cement, bricks, glass, pipes, plastics, fertilizer inputs, packaging, and construction materials","Factory output records, input provenance, buyer invoices, inventory flows, export receipts where applicable","Captures value after Iraqi raw materials instead of exporting or consuming low-value inputs."
electronics_hvac_appliances,Strategic manufacturing,1.4,0.35,"Assembly and gradual localization of HVAC, efficient cooling, meters, switchgear, control cabinets, pumps, sensors, appliances, and repair services","Product serials, warranty claims, maintenance tickets, merchant sales, public-building procurement records","Targets visible import categories while reducing electricity stress through efficient equipment."
regulated_defense_sustainment,Strategic manufacturing,1.0,0.35,"Licensed sustainment, protective equipment, secure maintenance, vehicle repair, communications assembly, and lifecycle service contracts","Classified details excluded; public layer records budget envelope, supplier license, delivery status, audit hash, and payment authorization","Builds sovereign sustainment capability without turning sensitive procurement into an opaque cash drain."
power_ppas_industrial_power,Green power and grid,2.2,0.8,"Solar, storage, industrial power zones, power purchase agreements, and reliable supply for industrial parks","PPA meter data, availability records, industrial offtake invoices, outage metrics, payment settlement","Creates bankable energy cashflow while lowering production risk for domestic industry."
grid_efficiency_service_charges,Green power and grid,0.7,0.25,"Grid-loss reduction, smart metering, demand response, public-building cooling efficiency, and verified savings contracts","Baseline loss data, smart-meter readings, measured savings, service-contract payments","Converts efficiency into cash only when savings are measured, preventing double counting."
waste_energy_efficiency,Green power and grid,0.4,0.15,"Waste-to-energy pilots, municipal waste contracts, heat/cooling efficiency services, and equipment maintenance","Municipal service contracts, tonnage records, plant output, maintenance logs","Links city services to industrial energy and municipal cleanliness."
food_processing_cold_chain_storage,Agriculture food and water,2.2,0.45,"Milling, storage, dairy, poultry, feed, tomato paste, frozen vegetables, cold-chain corridors, and logistics fees","Warehouse receipts, processor invoices, temperature logs, merchant sales, spoilage indicators","Reduces food-import pressure and spoilage while creating SME receivables for banks."
irrigation_water_equipment,Agriculture food and water,1.1,0.25,"Drip irrigation, pumps, filters, pipes, valves, farm equipment leases, service contracts, and spare parts","Equipment registry, lease payments, farmer adoption records, water-use metrics, service tickets","Raises agricultural productivity only when tied to measured water efficiency and repayment ability."
desalination_water_treatment,Agriculture food and water,0.7,0.2,"Modular desalination, water treatment, industrial water reuse, municipal/industrial availability payments, and maintenance","Water-quality readings, uptime records, offtake contracts, tariff subsidy records, maintenance logs","Treats water security as a revenue-backed service, with subsidy boundaries visible."
feed_packaging_farmer_platform,Agriculture food and water,0.5,0.1,"Feed mills, packaging, farmer marketplace services, quality certification, input procurement, and extension support","Platform fees, certification records, farmer sales, input receipts, quality attestations","Connects small producers to formal buyers and creates bankable farm cashflow."
religious_cultural_visitor_services,Tourism and tradable services,1.4,0.35,"Pilgrim logistics, site services, guides, event operations, transport bundles, and domestic merchant packages","Booking records, foreign-currency receipts, merchant settlement, visitor-service ratings","Captures more visitor spend inside formal Iraqi channels."
hospitality_jv_revenue_share,Tourism and tradable services,0.9,0.2,"Hotel, serviced apartment, restaurant, conference, and private/JV hospitality revenue shares","JV accounts, occupancy, receipts, tax/levy records, concession payments","Lets private capital carry demand risk while INDHC captures public-side upside."
tradable_services_exports,Tourism and tradable services,0.4,0.1,"Healthcare, education, repair, design, professional, software, and business services sold to foreign or diaspora customers","Invoice currency, service delivery evidence, FX conversion, platform receipts","Adds non-oil foreign-currency channels that do not require heavy physical exports."
tourism_platform_fx_services,Tourism and tradable services,0.3,0.1,"Booking, payment, itinerary, compliance, insurance, guide, and foreign-exchange settlement services","Platform fees, KYC status, FX source tags, merchant payout records","Makes tourism spend measurable, taxable, and convertible into Digital IQD merchant revenue."
urban_rail_fares,Open rail metro and logistics,0.55,0.05,"Metro, light-rail, feeder, and integrated ticketing fares","Ticket events, concession eligibility, ridership, route performance, wallet settlement","Creates user revenue while keeping affordability visible."
rail_availability_payments,Open rail metro and logistics,0.5,0.05,"Performance-priced availability payments for public transport uptime, safety, and service levels","Uptime data, performance deductions, contract milestones, public payment records","Makes rail public value financeable without pretending farebox revenue covers everything."
freight_logistics_services,Open rail metro and logistics,0.45,0.1,"Freight corridors, industrial park logistics, warehouse handling, last-mile services, and cold-chain links","Shipment records, warehouse receipts, service invoices, logistics KPIs","Lowers the delivered cost of domestic production and food distribution."
station_retail_land_value_capture,Open rail metro and logistics,0.5,0.15,"Station retail leases, advertising, right-of-way services, developer contributions, and land-value capture","Lease receipts, concession contracts, development charges, municipal revenue shares","Lets transit capture part of the value it creates around stations."
construction_inputs_distribution,Housing inputs and urban services,0.5,0.1,"Materials distribution, maintenance supplies, fixtures, pipe, glass, brick, cement, and contractor supply chains","Supplier invoices, project payment milestones, local-content proofs, quality records","Feeds housing and public works with domestic inputs."
municipal_service_contracts,Housing inputs and urban services,0.4,0.08,"Waste, street repair, lighting, drainage, parks, utility maintenance, and city-service availability contracts","Work orders, verifier photos, uptime/service metrics, payment releases","Moves city services from opaque budgets to priced outputs."
urban_utility_maintenance,Housing inputs and urban services,0.3,0.07,"District cooling, maintenance, metering, repairs, water leakage reduction, and public-building facility services","Meter data, repair tickets, availability, savings records, service settlement","Creates recurring local service businesses around urban infrastructure."
payment_compliance_platform_fees,Digital public infrastructure and SME platforms,0.35,0.15,"Low regulated fees for payments, compliance workflows, merchant tiers, and AML/reporting automation","Transaction counts, fee caps, compliance event logs, merchant-tier status","Funds the rail lightly while lowering friction for formal commerce."
